gmap_id,last_three_ratings,predicted_three_ratings
0x80c2c65af1fa4d45:0x3a886f32867f8665,"[5.0, 5.0, 4.0]","[3.72, 3.72, 3.72]"
0x80c2c65af79ca789:0xa585cfe5d1430d04,"[4.0, 5.0, 5.0]","[4.26, 4.26, 4.26]"
0x80c2c65baf3883d5:0x6f3fcf5b2246d41c,"[4.67, 5.0, 3.0]","[4.72, 4.72, 4.72]"
0x80c2c65bcbd088c3:0x494ca275e0d1271,"[4.0, 3.0, 5.0]","[4.53, 4.53, 4.53]"
0x80c2c65cff7e7771:0xde180b79abfff2c5,"[5.0, 5.0, 4.0]","[4.77, 4.77, 4.77]"
0x80c2c65dad56c267:0x734626539d06c76e,"[4.0, 5.0, 4.0]","[4.28, 4.28, 4.28]"
0x80c2c6611aff590b:0x30e3575bdd00e296,"[4.5, 5.0, 5.0]","[4.96, 4.96, 4.96]"
0x80c2c6743e7b8f39:0x2dafa49d1e13e108,"[5.0, 3.0, 3.0]","[4.14, 4.14, 4.14]"
0x80c2c674e8e98871:0x408d6bb1a0525bbd,"[1.0, 1.0, 3.0]","[3.23, 3.23, 3.23]"
0x80c2c67533377cc3:0x947e78087f45fc45,"[5.0, 2.0, 5.0]","[4.73, 4.73, 4.73]"
0x80c2c67fdfa5aa25:0x18f7b4b2ca2fc6a3,"[4.0, 3.0, 5.0]","[4.57, 4.57, 4.57]"
0x80c2c6877717a97b:0xe4a15025902e175a,"[5.0, 5.0, 3.0]","[4.53, 4.53, 4.53]"
0x80c2c68aba1b6e75:0xa1156a0d46775608,"[4.33, 4.5, 5.0]","[4.52, 4.52, 4.52]"
0x80c2c68bce391079:0xfc39a5b965fe04d8,"[5.0, 2.0, 4.0]","[4.35, 4.35, 4.35]"
0x80c2c691db5fb20f:0xb8eaa85244e18513,"[5.0, 3.67, 4.0]","[4.44, 4.44, 4.44]"
0x80c2c692dad503dd:0x2897aba4acb37857,"[3.5, 4.0, 4.0]","[2.9, 2.9, 2.9]"
0x80c2c695d4c49087:0x755d5616bf2d9df,"[4.0, 4.5, 2.0]","[4.26, 4.26, 4.26]"
0x80c2c6c09750f0b3:0x92fb20e1eb2d73b9,"[3.0, 4.0, 5.0]","[4.75, 4.75, 4.75]"
0x80c2c6d190b1b7f1:0xbd92bf88f1a540f,"[5.0, 5.0, 5.0]","[4.23, 4.23, 4.23]"
0x80c2c6fc54a0c361:0x487316d269578bc3,"[4.67, 5.0, 3.0]","[3.75, 3.75, 3.75]"
0x80c2c6fc94e4bc81:0x2afb71f5d68ae17f,"[5.0, 1.0, 3.5]","[4.37, 4.37, 4.37]"
0x80c2c6fd93da6891:0x5517772490fcd9a4,"[4.0, 4.5, 5.0]","[4.81, 4.81, 4.81]"
0x80c2c7073ffc4e4d:0x64aa56c984689663,"[3.0, 4.0, 4.0]","[4.65, 4.65, 4.65]"
0x80c2c70aaba248f7:0xb5357b0bc5f33b7b,"[5.0, 1.0, 3.0]","[4.23, 4.23, 4.23]"
0x80c2c70afbcb0be3:0x27909841c1efd38e,"[5.0, 5.0, 5.0]","[4.95, 4.95, 4.95]"
0x80c2c70bf7100003:0xc4a02e3897d79e82,"[5.0, 4.0, 5.0]","[2.58, 2.58, 2.58]"
0x80c2c70ccb03cbef:0xc5befcf50cfb85d2,"[5.0, 2.67, 5.0]","[4.06, 4.06, 4.06]"
0x80c2c7132913aa0b:0xadd4d6384a8b74cf,"[4.25, 4.4, 4.6]","[2.66, 2.66, 2.66]"
0x80c2c7198bfe88b3:0xd32eeec8fa08853b,"[5.0, 5.0, 5.0]","[4.91, 4.91, 4.91]"
0x80c2c71dd65f7289:0x351193ee54b66678,"[5.0, 5.0, 5.0]","[4.73, 4.73, 4.73]"
0x80c2c7235173c87f:0xb57e3339e8b835e7,"[5.0, 3.0, 5.0]","[4.76, 4.76, 4.76]"
0x80c2c72c1a1d1433:0x8b51588c458b02d5,"[5.0, 4.0, 5.0]","[4.43, 4.43, 4.43]"
0x80c2c72f8054441f:0x639bce62bd212589,"[5.0, 4.0, 3.0]","[4.3, 4.3, 4.3]"
0x80c2c7344ddcc8a5:0xd6d38e2981f9c0da,"[4.0, 4.33, 4.25]","[4.78, 4.78, 4.78]"
0x80c2c743461907cf:0xc15ed02e34374d57,"[5.0, 5.0, 4.0]","[4.61, 4.61, 4.61]"
0x80c2c7467a01611d:0x31184ac4519937f,"[5.0, 5.0, 5.0]","[4.67, 4.67, 4.67]"
0x80c2c751a12c3c0d:0x18b0f3f919945d8f,"[4.0, 4.0, 4.0]","[4.52, 4.52, 4.52]"
0x80c2c7536ad741d3:0xe73d4b1766675d64,"[3.0, 5.0, 2.0]","[2.99, 2.99, 2.99]"
0x80c2c753f9bf1d15:0x6e5999b4e514eed6,"[5.0, 4.0, 3.0]","[4.53, 4.53, 4.53]"
0x80c2c755ca87d027:0x85d47b00341337e1,"[5.0, 5.0, 4.0]","[4.87, 4.87, 4.87]"
0x80c2c75e062c0001:0xd8e6931262326232,"[4.0, 5.0, 4.0]","[4.82, 4.82, 4.82]"
0x80c2c75e07c971d9:0x2156de4026cab7e9,"[5.0, 4.5, 2.5]","[4.7, 4.7, 4.7]"
0x80c2c75fcaa22fcd:0x1902d3a41317fe9c,"[5.0, 4.5, 4.0]","[4.77, 4.77, 4.77]"
0x80c2c7639269f1e3:0x244754771e68ec44,"[5.0, 5.0, 5.0]","[4.41, 4.41, 4.41]"
0x80c2c76446e09f2d:0x3c26bd5ecb2dbdf2,"[5.0, 3.0, 5.0]","[4.33, 4.33, 4.33]"
0x80c2c7669aa0facd:0xed9187adc7ca3eb1,"[4.0, 5.0, 1.0]","[3.39, 3.39, 3.39]"
0x80c2c766a10b53af:0xb774444dd5fbaa2,"[5.0, 5.0, 5.0]","[4.84, 4.84, 4.84]"
0x80c2c766bea4d7bb:0xd08947416edf28b4,"[5.0, 5.0, 4.33]","[4.73, 4.73, 4.73]"
0x80c2c766eaab7e5b:0xfdd724a3cd00c314,"[5.0, 5.0, 4.0]","[3.04, 3.04, 3.04]"
0x80c2c76db7738e89:0x6a51fcd0105ddb4b,"[5.0, 5.0, 3.0]","[4.5, 4.5, 4.5]"
0x80c2c7714a9a36d5:0x3c2bac0f64c68269,"[5.0, 5.0, 5.0]","[5.0, 5.0, 5.0]"
0x80c2c7726b53b8e5:0xad288d11654f5e48,"[4.5, 5.0, 5.0]","[4.96, 4.96, 4.96]"
0x80c2c775dcd5d58b:0x21a3e508790b3493,"[4.0, 5.0, 5.0]","[4.92, 4.92, 4.92]"
0x80c2c775e71e7d35:0x923815cb14028f63,"[5.0, 4.75, 5.0]","[4.98, 4.98, 4.98]"
0x80c2c778e3671769:0x89c60a7b4c435e1b,"[5.0, 4.0, 5.0]","[2.63, 2.63, 2.63]"
0x80c2c778e3b73d33:0xbdc58662a4a97d49,"[5.0, 5.0, 5.0]","[4.81, 4.81, 4.81]"
0x80c2c7798cbf8c09:0x9e2f5dede6332eba,"[5.0, 5.0, 3.5]","[4.66, 4.66, 4.66]"
0x80c2c77bef259679:0x2badaf6ea5542424,"[3.0, 3.0, 3.0]","[3.68, 3.68, 3.68]"
0x80c2c77c8f641b31:0x4263bdac09179a99,"[4.0, 5.0, 5.0]","[4.26, 4.26, 4.26]"
0x80c2c77d09ed6891:0x4d2c8ed08fff6fe5,"[4.0, 4.33, 3.0]","[3.75, 3.75, 3.75]"
0x80c2c77d170f40cb:0xaa5d274d52fe3ff6,"[4.0, 4.0, 3.5]","[4.54, 4.54, 4.54]"
0x80c2c77d80452599:0x9cc18d55152c55c0,"[5.0, 4.0, 4.33]","[4.57, 4.57, 4.57]"
0x80c2c77d8b65584b:0x85c2ac6640210120,"[4.0, 1.0, 5.0]","[4.0, 4.0, 4.0]"
0x80c2c783bfcdaad9:0xa0509f6668115111,"[5.0, 5.0, 5.0]","[3.12, 3.12, 3.12]"
0x80c2c783dc07ce03:0x66996e39b55526d,"[5.0, 4.0, 3.0]","[4.37, 4.37, 4.37]"
0x80c2c7876c1e92cb:0x9a88ed394f941489,"[5.0, 3.0, 5.0]","[4.79, 4.79, 4.79]"
0x80c2c78a4f0f3f59:0x1000d280ef66ef5c,"[5.0, 3.0, 5.0]","[3.78, 3.78, 3.78]"
0x80c2c79260d4fb9d:0xc929b8c854b50dda,"[5.0, 1.0, 5.0]","[4.27, 4.27, 4.27]"
0x80c2c795b4251d97:0x94f8aa9303026eaa,"[5.0, 5.0, 5.0]","[5.0, 5.0, 5.0]"
0x80c2c798446a724b:0x967c1ac22ab6fd5e,"[5.0, 4.5, 5.0]","[4.29, 4.29, 4.29]"
0x80c2c798ad41d859:0x8823cd86d2abd5b3,"[4.5, 4.0, 4.0]","[4.53, 4.53, 4.53]"
0x80c2c79bc3cb7cb9:0x7f37b0b9e74e0896,"[4.0, 5.0, 5.0]","[4.67, 4.67, 4.67]"
0x80c2c79f49e7a00f:0x426d65826c39c563,"[4.0, 4.0, 5.0]","[4.74, 4.74, 4.74]"
0x80c2c79f66fb1967:0xfd66beea96d9b80,"[4.0, 3.0, 5.0]","[4.47, 4.47, 4.47]"
0x80c2c7a1f3827007:0xb4f5a1cb9eee66e7,"[3.0, 5.0, 4.0]","[3.97, 3.97, 3.97]"
0x80c2c7a5129f507d:0x35e0ea6cb7b139e6,"[5.0, 5.0, 5.0]","[4.49, 4.49, 4.49]"
0x80c2c7ad7f802a45:0x610062b8d9c9c05f,"[5.0, 5.0, 5.0]","[4.42, 4.42, 4.42]"
0x80c2c7af5e266cf3:0xc65f3e15e39f56f5,"[4.0, 5.0, 4.5]","[4.51, 4.51, 4.51]"
0x80c2c7b01b64f0c3:0xf0dc73dcc9a10ade,"[1.0, 1.0, 5.0]","[2.18, 2.18, 2.18]"
0x80c2c7b0b355a45f:0xd667bf39c33c99fc,"[4.0, 5.0, 5.0]","[4.64, 4.64, 4.64]"
0x80c2c7b3b03af0f3:0x7177a5965cda6149,"[3.0, 4.5, 3.0]","[4.0, 4.0, 4.0]"
0x80c2c7b3b03af0f3:0xae620d1f51b14c0b,"[2.0, 5.0, 5.0]","[3.07, 3.07, 3.07]"
0x80c2c7b43290f443:0x7d1f9596eba91cb3,"[4.0, 5.0, 5.0]","[4.46, 4.46, 4.46]"
0x80c2c7b48d780ebd:0x1d1de6f8f51150a,"[4.0, 4.0, 5.0]","[4.64, 4.64, 4.64]"
0x80c2c7b501a0d6f1:0x3289ab6bf1c569e2,"[4.5, 4.0, 5.0]","[4.1, 4.1, 4.1]"
0x80c2c7b568501495:0xfaeec49eefba4fbc,"[4.0, 1.0, 4.0]","[4.39, 4.39, 4.39]"
0x80c2c7b570b7810d:0x386b12a7b2096ac6,"[5.0, 4.0, 5.0]","[3.77, 3.77, 3.77]"
0x80c2c7b62eddbdf1:0x8403444b76b8de21,"[4.0, 4.0, 5.0]","[4.58, 4.58, 4.58]"
0x80c2c7b6d9bfffff:0x673fa3fb3f1bcd5c,"[5.0, 4.0, 5.0]","[4.74, 4.74, 4.74]"
0x80c2c7c180d51db3:0xe550c87e188bf8f8,"[5.0, 4.33, 3.0]","[4.7, 4.7, 4.7]"
0x80c2c7c58fb261e7:0xee4723acdc02ff0,"[1.0, 5.0, 1.0]","[3.74, 3.74, 3.74]"
0x80c2c7c61b905f51:0x8a2bb2e49496b1bd,"[5.0, 4.0, 5.0]","[4.74, 4.74, 4.74]"
0x80c2c7c9e450aad7:0x55f6a7ac45bad129,"[5.0, 5.0, 5.0]","[4.9, 4.9, 4.9]"
0x80c2c7ca56ab37a3:0x3892955cb96fc8be,"[5.0, 5.0, 5.0]","[4.97, 4.97, 4.97]"
0x80c2c7cb053c21fd:0xf6f9e761da2fda88,"[4.0, 5.0, 5.0]","[4.92, 4.92, 4.92]"
0x80c2c7cb46b8933d:0xd0d9fbe02b94509f,"[4.0, 4.0, 1.0]","[4.2, 4.2, 4.2]"
0x80c2c7cc4061048b:0xb683b430f05b48a8,"[4.5, 4.0, 3.0]","[4.65, 4.65, 4.65]"
0x80c2c7cd22f9f12b:0x608a8b800f41819c,"[5.0, 5.0, 5.0]","[4.4, 4.4, 4.4]"
0x80c2c7cdf15e106f:0x16dad5f5d4454c5e,"[5.0, 3.0, 4.0]","[3.01, 3.01, 3.01]"
0x80c2c7d0e3f32c0d:0x7c6c5ff4c67721e7,"[5.0, 3.0, 5.0]","[4.26, 4.26, 4.26]"
0x80c2c7d4d6355d45:0xd13f85fb7af5a9a5,"[5.0, 5.0, 4.67]","[4.6, 4.6, 4.6]"
0x80c2c7ded886b7dd:0x260bbd7b9bfa748e,"[5.0, 5.0, 5.0]","[4.87, 4.87, 4.87]"
0x80c2c7e33e89ec5b:0xa1ec670040095af1,"[5.0, 1.0, 4.0]","[3.1, 3.1, 3.1]"
0x80c2c7e4f5472285:0x9dc59bda1ba2f45e,"[2.5, 4.0, 4.0]","[4.53, 4.53, 4.53]"
0x80c2c7f2619e052d:0x6f2c9f37c74b2e7b,"[5.0, 4.0, 2.0]","[4.33, 4.33, 4.33]"
0x80c2c7f3b9910ced:0xdeeee9d9e47f61aa,"[4.0, 1.0, 5.0]","[2.5, 2.5, 2.5]"
0x80c2c83f17e8bd67:0x77fdfa9dee996df3,"[4.0, 5.0, 4.0]","[3.81, 3.81, 3.81]"
0x80c2c84fc6975997:0x69176b0c7d86d5a7,"[5.0, 5.0, 5.0]","[4.84, 4.84, 4.84]"
0x80c2c856a52491d9:0xcea5f2593c4fb780,"[5.0, 4.33, 5.0]","[4.32, 4.32, 4.32]"
0x80c2c860bd87448b:0x966cd0fb7f926801,"[1.0, 2.0, 1.0]","[3.37, 3.37, 3.37]"
0x80c2c87f1c933079:0x8c4d8098ad367477,"[5.0, 4.0, 5.0]","[4.74, 4.74, 4.74]"
0x80c2c880c86161a1:0x8b14cdfeb57154a4,"[5.0, 4.0, 5.0]","[4.36, 4.36, 4.36]"
0x80c2c8a5c6d29327:0x33c87a522d667733,"[5.0, 5.0, 2.0]","[3.71, 3.71, 3.71]"
0x80c2c8a5e9e0b235:0xb8e8d1824062b7cd,"[5.0, 4.0, 5.0]","[4.63, 4.63, 4.63]"
0x80c2c8b446a2d027:0xa54a35e53429b70b,"[4.0, 5.0, 5.0]","[3.08, 3.08, 3.08]"
0x80c2c8b98ff907a9:0x84022ce68b553980,"[5.0, 5.0, 3.0]","[4.43, 4.43, 4.43]"
0x80c2c8f25433ffff:0xbb712f238cbc754a,"[5.0, 5.0, 4.0]","[3.09, 3.09, 3.09]"
0x80c2c8f5fc015593:0xb0f43a30322d0a8a,"[3.0, 5.0, 4.5]","[4.58, 4.58, 4.58]"
0x80c2c9075807ed0b:0x39785d922f44e660,"[5.0, 3.5, 5.0]","[4.32, 4.32, 4.32]"
0x80c2c907c3cad351:0x36d6ce791cd496f,"[5.0, 1.0, 5.0]","[4.43, 4.43, 4.43]"
0x80c2c90f6bd18605:0xc5287d2f1bf6e552,"[5.0, 5.0, 5.0]","[4.61, 4.61, 4.61]"
0x80c2c9190650df2b:0x9d1f8486e0b0d531,"[4.5, 1.0, 5.0]","[3.89, 3.89, 3.89]"
0x80c2c94f3df6ad91:0x9c0d8c9791ebb2a,"[5.0, 5.0, 5.0]","[4.89, 4.89, 4.89]"
0x80c2c9548a9e7889:0x17e5230cfae6d61c,"[4.67, 5.0, 4.0]","[4.84, 4.84, 4.84]"
0x80c2c9672c3fcb5b:0xca8f18a5f146006d,"[1.0, 4.0, 5.0]","[4.59, 4.59, 4.59]"
0x80c2c9688ed8959b:0x71d20b206c3897ba,"[3.0, 5.0, 5.0]","[4.74, 4.74, 4.74]"
0x80c2c96f483de795:0x271bf9ce61f0b3ce,"[5.0, 5.0, 5.0]","[5.0, 5.0, 5.0]"
0x80c2c988b491bcd5:0x260a6215e1070aec,"[5.0, 5.0, 5.0]","[5.0, 5.0, 5.0]"
0x80c2c98f3d6595a1:0x9693c0607778f667,"[4.0, 4.5, 4.0]","[3.59, 3.59, 3.59]"
0x80c2c9a1ce447aed:0x203351ec4cc99fc8,"[3.0, 5.0, 3.0]","[3.76, 3.76, 3.76]"
0x80c2c9ae976400f9:0x5448443d07fb130f,"[4.36, 4.33, 3.17]","[4.66, 4.66, 4.66]"
0x80c2c9b5bc39d6a9:0x3fb57c4204c9e804,"[4.0, 5.0, 1.0]","[2.66, 2.66, 2.66]"
0x80c2c9b87d5a99f7:0xef5796c6663d282c,"[5.0, 5.0, 5.0]","[5.0, 5.0, 5.0]"
0x80c2c9c0476593f3:0x215bbaa29b7d93f1,"[4.0, 4.0, 5.0]","[3.52, 3.52, 3.52]"
0x80c2c9c3d35d1c63:0x22012dd61246213e,"[1.0, 4.0, 5.0]","[4.59, 4.59, 4.59]"
0x80c2c9c49cf8dab7:0xa9b88290287c043c,"[4.0, 5.0, 3.0]","[3.92, 3.92, 3.92]"
0x80c2c9c9b845fef3:0x29a4890ba7303740,"[3.67, 5.0, 4.0]","[4.69, 4.69, 4.69]"
0x80c2c9cd48fff689:0xa38c815c97bc943d,"[1.0, 1.0, 1.0]","[2.82, 2.82, 2.82]"
0x80c2c9eefd15237f:0xf04430b8539e2643,"[5.0, 4.0, 5.0]","[3.12, 3.12, 3.12]"
0x80c2c9f91b1ae5c3:0x25d31e16aed7f22e,"[5.0, 1.0, 5.0]","[4.64, 4.64, 4.64]"
0x80c2ca1f3cf300a9:0xbf170287d191a122,"[5.0, 4.75, 4.5]","[4.76, 4.76, 4.76]"
0x80c2ca260bf85a15:0x878aed6346f46a2e,"[3.0, 5.0, 5.0]","[3.86, 3.86, 3.86]"
0x80c2ca306d306667:0xd37febbe0f4cc2d7,"[4.5, 3.0, 4.0]","[3.61, 3.61, 3.61]"
0x80c2ca3297b4a025:0x797cf9efd9037dad,"[5.0, 4.0, 4.5]","[4.86, 4.86, 4.86]"
0x80c2ca351e1076fb:0x947d44d0c4851553,"[5.0, 5.0, 3.0]","[4.33, 4.33, 4.33]"
0x80c2ca48a1211033:0x157b031bdb007a2e,"[2.0, 5.0, 5.0]","[3.46, 3.46, 3.46]"
0x80c2ca4dbcfdadf3:0x148978b64698be9f,"[5.0, 4.0, 5.0]","[4.76, 4.76, 4.76]"
0x80c2cbcf4247006b:0xbf044264103a4a05,"[5.0, 5.0, 5.0]","[4.58, 4.58, 4.58]"
0x80c2cbd5f37dfc93:0xa153b034a4119826,"[5.0, 5.0, 3.0]","[4.63, 4.63, 4.63]"
0x80c2cbd6ee207d0f:0xfd1c2e19c2c51bc7,"[5.0, 5.0, 5.0]","[5.0, 5.0, 5.0]"
0x80c2cf2e1366b125:0x6faa978d2b98a461,"[5.0, 5.0, 5.0]","[4.8, 4.8, 4.8]"
0x80c2cf347aaf77b9:0x6c9f3d312decf76f,"[5.0, 4.0, 5.0]","[4.73, 4.73, 4.73]"
0x80c2cf3f3cf9255f:0x9015513fd44ec5e7,"[4.5, 5.0, 4.0]","[4.79, 4.79, 4.79]"
0x80c2cf4e259afc7b:0x8e5d7b94ada7250a,"[5.0, 5.0, 5.0]","[4.95, 4.95, 4.95]"
0x80c2cf5a3c750b73:0xcb8c4037ca4f0c5,"[4.0, 5.0, 4.0]","[3.9, 3.9, 3.9]"
0x80c2cf63c85b8dd7:0x6748a2875d0b6e9f,"[5.0, 5.0, 4.5]","[3.53, 3.53, 3.53]"
0x80c2cfafdbbbf0bd:0x6f94b1db8a8e02d8,"[5.0, 5.0, 5.0]","[4.75, 4.75, 4.75]"
0x80c2cfcb781ef31d:0xfaae6a1f7570db09,"[4.33, 4.5, 4.0]","[4.54, 4.54, 4.54]"
0x80c2db2a056d64dd:0xfea3d8e88ef4203f,"[5.0, 5.0, 5.0]","[5.0, 5.0, 5.0]"
